Country,Date,Round,Coordinates,Region
Türkiye,2021-07-21,3,"37.686037671506988,38.04396662194501",Adıyaman
Sweden,2021-07-21,4,"57.458954608587362,12.174032597322441","Hallands län"
Australia,2021-07-21,5,"-35.196346769444077,150.4412034563353","New South Wales"
Croatia,2021-07-22,1,"45.084167312595682,14.44267635369072","Primorsko-goranska županija"
Russia,2021-07-22,2,"59.93975435266,30.31530950910787",Sankt-Peterburg
"United Arab Emirates",2021-07-22,3,"25.5254969,55.5571451","Emirate of Umm Al Quwain"
Mexico,2021-07-22,4,"21.1610664,-86.8255459","Quintana Roo"
Kenya,2021-07-22,5,"-0.2041481,35.2932638","Kisumu County"
Kenya,2021-07-23,1,"-1.2847212966094359,36.820579747002107","Nairobi County"
Ukraine,2021-07-23,2,"48.2490953,28.292407","Vinnyts'ka oblast"
Mexico,2021-07-23,3,"26.3295738340347,-111.54573878018979","Baja California Sur"
Estonia,2021-07-23,4,"58.254580586768427,22.55489834255005","Saare maakond"
Kenya,2021-07-23,5,"-1.366654772462258,38.01070036255836","Kitui County"
Romania,2021-07-24,1,"45.865429561797413,24.161810602959289","Județul Sibiu"
Germany,2021-07-24,2,"48.24029246656653,11.509253646562639",Bayern
Norway,2021-07-24,3,"68.530106812896776,16.111597814332821",Nordland
Chile,2021-07-24,4,"-52.664230317107418,-71.111561303156563","Magallanes y la Antártica Chilena"
Japan,2021-07-24,5,"40.450023472844137,141.68100405358379",Aomori
Mexico,2021-07-25,1,"26.64152282130738,-109.21355406246769",Sonora
Sweden,2021-07-25,2,"56.955257890458732,16.787376188254441","Kalmar län"
Slovenia,2021-07-25,3,"45.569549882877077,14.9448511919119",Kočevje
Indonesia,2021-07-25,4,"-6.8693434571534446,109.1286275765752","Jawa Tengah"
Kenya,2021-07-25,5,"0.2156305069882119,37.456438543899253","Meru County"
Germany,2021-07-26,1,"53.446598724519951,10.22012090728926",Hamburg
Netherlands,2021-07-26,2,"52.7199810545729,5.2763461010443109",Noord-Holland
India,2021-07-26,3,"22.648773274956291,88.3764222039116","West Bengal"
Greece,2021-07-26,4,"39.639842467378109,20.155563193887151",Epirus
Bolivia,2021-07-26,5,"-21.25602328709493,-63.45596936000922","Departamento de Tarija"
Ireland,2021-07-27,1,"54.13908920383318,-9.7161361823677712","County Mayo"
Latvia,2021-07-27,2,"57.0362331,22.7691347","Tukuma novads"
Philippines,2021-07-27,3,"14.579309457466341,120.9748339759133","Metropolitan Manila First District"
Chile,2021-07-27,4,"-36.321386667769673,-72.527473646636651",Ñuble
Chile,2021-07-27,5,"-34.657004623109913,-70.992649463264584",O'Higgins
Türkiye,2021-07-28,1,"38.741123458844768,39.914276395497417",Elazığ
Peru,2021-07-28,2,"-16.0035196,-74.0235712",Arequipa
Spain,2021-07-28,3,"36.500700120189343,-6.2623954930254158",Andalucía
Denmark,2021-07-28,4,"56.387542923866128,8.7916018980067889","Central Denmark Region"
"South Korea",2021-07-28,5,"35.570012738157679,129.22776658689881",Ulsan
Philippines,2021-07-29,1,"15.8171513082246,120.7292451164285","Nueva Ecija"
Latvia,2021-07-29,2,"56.604026370472162,22.452258765447361","Saldus novads"
Slovenia,2021-07-29,3,"46.144547463813083,15.206435629923581",Laško
Finland,2021-07-29,4,"62.136011630952517,25.013232687916869",Keski-Suomi
Bolivia,2021-07-29,5,"-16.298158800499252,-68.5279890628446","Departamento de La Paz"
"United States",2021-07-30,1,"40.722114403892469,-73.975986490537991","New York"
Philippines,2021-07-30,2,"6.1033667822678144,125.2924103465875",Sarangani
Greece,2021-07-30,3,"36.822502102731768,27.052939893052439","Southern Aegean"
Chile,2021-07-30,4,"-46.89361045872262,-72.769594228483854",Aysén
Colombia,2021-07-30,5,"7.0855832544544466,-70.757966736021345",Arauca
"South Korea",2021-07-31,1,"33.275862504117612,126.21695097761931",Jeju-do
Australia,2021-07-31,2,"-30.9825573,150.1885651","New South Wales"
Japan,2021-07-31,3,"41.265460824514619,140.8338895399136",Aomori
Bolivia,2021-07-31,4,"-18.10830797026496,-63.457524629567821","Departamento de Santa Cruz"
Netherlands,2021-07-31,5,"51.749881586564193,5.8404687069889523",Noord-Brabant
Poland,2021-08-01,1,"53.186819661634267,22.086507390969722","Województwo podlaskie"
Senegal,2021-08-01,2,"14.7527904,-17.4901815","Région de Dakar"
Malaysia,2021-08-01,3,"4.66945897406551,103.4034740556107",Terengganu
"United States",2021-08-01,4,"40.761415083577013,-73.99178155971299","New York"
Senegal,2021-08-01,5,"13.849737804922681,-16.057608461080061","Région de Kaolack"
Cambodia,2021-08-02,1,"12.253038718427479,105.8924325936118","Kratié Province"
Taiwan,2021-08-02,2,"24.349535435080892,121.3081597616043","Taichung City"
Cambodia,2021-08-02,3,"12.40335619869678,106.2387013714211","Kratié Province"
Egypt,2021-08-02,4,"29.975121404953079,31.137123048401008","Giza Governorate"
Bolivia,2021-08-02,5,"-16.298158800499252,-68.5279890628446","Departamento de La Paz"
Kenya,2021-08-03,1,"0.77518398227114116,34.788970768627777","Bungoma County"
Portugal,2021-08-03,2,"38.823440083608837,-7.424142137163062","Distrito de Évora"
Finland,2021-08-03,3,"65.775662989344951,28.69951221902102",Pohjois-Pohjanmaa
Brazil,2021-08-03,4,"-16.3519861725251,-48.958504823126113",Goiás
Australia,2021-08-03,5,"-42.12310973882542,148.2901295284486",Tasmania
Estonia,2021-08-04,1,"57.906265759472568,24.411486330654562","Pärnu maakond"
Iceland,2021-08-04,2,"63.733131263298937,-20.089777600860689","Rangárþing eystra"
Bangladesh,2021-08-04,3,"24.806855801663058,90.510357933967825","Mymensingh Division"
Colombia,2021-08-04,4,"2.1359542593594019,-75.715116465667776",Huila
Argentina,2021-08-04,5,"-25.1207437167626,-64.126986953030638",Salta
Finland,2021-08-05,1,"61.094010606113827,24.114651212155579",Kanta-Häme
Uruguay,2021-08-05,2,"-34.63419812392182,-56.632840793631523","Departamento de San José"
Colombia,2021-08-05,3,"2.391667,-76.657268",Cauca
Taiwan,2021-08-05,4,"23.563793922046791,119.58345460846689","Penghu County"
Belgium,2021-08-05,5,"51.1794505,5.6310684",Vlaanderen
"United States",2021-08-06,1,"30.3163162597815,-81.6552667887693",Florida
Japan,2021-08-06,2,"44.042585071652788,144.94967942190431",Hokkaido
Romania,2021-08-06,3,"44.433692512540738,26.10905994014907",București
Finland,2021-08-06,4,"67.817177463781761,23.681585603795941",Lappi
Poland,2021-08-06,5,"53.260325266688547,14.825136555903651","West Pomeranian Voivodeship"
Slovakia,2021-08-07,1,"48.638381895839657,19.945879032745491","Banskobystrický kraj"
Greece,2021-08-07,2,"37.667311582827743,23.959894053206011",Attica
Indonesia,2021-08-07,3,"-7.3445345,108.3886696","Jawa Barat"
Ecuador,2021-08-07,4,"-2.1783386291235431,-79.826013458856693",Guayas
Egypt,2021-08-07,5,"30.006642933908,31.229808278351271","Cairo Governorate"
Sweden,2021-08-09,1,"57.51007607343243,13.108334351516289","Västra Götalands län"
France,2021-08-09,2,"44.7302225,3.8977065",Auvergne-Rhône-Alpes
Australia,2021-08-09,3,"-35.982849945169718,139.74139210864891","South Australia"
Taiwan,2021-08-09,4,"24.139954366238289,120.6770057066245","Taichung City"
Argentina,2021-08-09,5,"-26.0735819119208,-65.975514809969624",Salta
Argentina,2021-08-10,1,"-27.010685240801159,-54.5220330398425",Misiones
Australia,2021-08-10,2,"-38.61516836743386,143.29215359487819",Victoria
Hungary,2021-08-10,3,"47.02114577600522,21.431574057541589",Hajdú-Bihar
Kenya,2021-08-10,4,"-0.53345342893502479,37.450499527611463","Embu County"
"Isle of Man",2021-08-10,5,"54.16799087359793,-4.5085236131228363",Braddan
France,2021-08-11,1,"42.214682314162538,9.55514633601004",Corse
Czechia,2021-08-11,2,"50.439875751921633,14.902955415992359","Středočeský kraj"
Taiwan,2021-08-11,3,"24.149177736486,121.65453646924951","Hualien County"
Thailand,2021-08-11,4,"17.9959238,102.9674048","Chang Wat Nong Khai"
Peru,2021-08-11,5,"-9.3582744060823337,-78.4250500469737",Áncash
