Country,Date,Round,Coordinates,Region
Greenland,2023-10-22,5,"65.618789672851562,-37.650138854980469","Sermersooq Municipality"
"United States",2023-10-23,1,"43.183280944824219,-88.990432739257812",Wisconsin
"United Arab Emirates",2023-10-23,2,"25.195169448852539,55.277008056640625",Dubai
Eswatini,2023-10-23,3,"-26.669712066650391,31.068784713745117",Manzini
Philippines,2023-10-23,4,"5.6474771499633789,125.31700897216797",Sarangani
Finland,2023-10-23,5,"64.4161605834961,24.126237869262695",Pohjois-Pohjanmaa
Thailand,2023-10-24,1,"15.476178169250488,100.4659423828125","Nakhon Sawan"
Brazil,2023-10-24,2,"-23.411083221435547,-47.405475616455078","São Paulo"
Chile,2023-10-24,3,"-52.985866546630859,-70.81591796875","Magallanes y la Antártica Chilena"
Türkiye,2023-10-24,4,"37.939716339111328,41.902694702148438",Siirt
Iceland,2023-10-24,5,"63.830169677734375,-22.698354721069336",Reykjanesbær
Bolivia,2023-10-25,1,"-17.595310211181641,-63.161586761474609","Departamento de Santa Cruz"
"South Korea",2023-10-25,2,"37.56396484375,127.00543975830078",Seoul
Germany,2023-10-25,3,"48.524177551269531,7.8237652778625488",Baden-Württemberg
Norway,2023-10-25,4,"63.109416961669922,7.72335958480835","Møre og Romsdal"
Pakistan,2023-10-25,5,"31.583475112915039,74.322128295898438",Punjab
Canada,2023-10-26,1,"51.687767028808594,-105.45170593261719",Saskatchewan
Italy,2023-10-26,2,"40.570175170898438,17.171516418457031",Apulia
Bangladesh,2023-10-26,3,"24.334051132202148,91.533607482910156","Sylhet Division"
Mexico,2023-10-26,4,"19.102085113525391,-102.34724426269531",Michoacán
Brazil,2023-10-26,5,"-3.5989866256713867,-39.435016632080078",Ceará
Botswana,2023-10-27,1,"-22.426301956176758,28.811620712280273","Central District"
Bolivia,2023-10-27,2,"-19.018348693847656,-65.285064697265625","Departamento de Chuquisaca"
Greenland,2023-10-27,3,"64.181503295898438,-51.746089935302734","Sermersooq Municipality"
Indonesia,2023-10-27,4,"-7.8702011108398438,110.24003601074219","Daerah Istimewa Yogyakarta"
Estonia,2023-10-27,5,"58.600936889648438,24.551246643066406","Pärnu maakond"
Chile,2023-10-28,1,"-33.559291839599609,-70.618942260742188","Región Metropolitana"
"United Kingdom",2023-10-28,2,"52.645896911621094,-1.5802570581436157",Warwickshire
Botswana,2023-10-28,3,"-24.66351318359375,25.877170562744141","Gaborone City"
Kyrgyzstan,2023-10-28,4,"42.875144958496094,74.591644287109375","Bishkek City"
Guatemala,2023-10-28,5,"14.638875961303711,-90.507255554199219",Guatemala
Canada,2023-10-29,1,"44.360492706298828,-77.4955825805664",Ontario
Germany,2023-10-29,2,"53.064472198486328,8.9501953125",Bremen
Qatar,2023-10-29,3,"25.267044067382812,51.42822265625","Al Rayyan Municipality"
Poland,2023-10-29,4,"53.570266723632812,14.802004814147949","Województwo zachodniopomorskie"
Colombia,2023-10-29,5,"3.4521677494049072,-76.558242797851562","Valle del Cauca"
Japan,2023-10-30,1,"35.833045959472656,139.35647583007812",Saitama
"Sri Lanka",2023-10-30,2,"6.2012214660644531,80.928703308105469","Southern Province"
Ukraine,2023-10-30,3,"46.394001007080078,30.638540267944336","Odes'ka oblast"
"Puerto Rico",2023-10-30,4,"18.397932052612305,-65.9898452758789",Carolina
Slovakia,2023-10-30,5,"48.732013702392578,19.137750625610352","Banskobystrický kraj"
"Sri Lanka",2023-10-31,1,"6.9811086654663086,80.7606201171875","Central Province"
Taiwan,2023-10-31,2,"23.319757461547852,121.30567169189453","Hualien County"
"Puerto Rico",2023-10-31,3,"18.39128303527832,-65.952987670898438",Carolina
Sweden,2023-10-31,4,"63.181556701660156,14.618327140808105","Jämtlands län"
Türkiye,2023-10-31,5,"39.90167236328125,41.257896423339844",Erzurum
Argentina,2023-11-01,1,"-31.469644546508789,-64.226264953613281",Córdoba
Canada,2023-11-01,2,"44.698356628417969,-63.508384704589844","Nova Scotia"
Uruguay,2023-11-01,3,"-34.9064826965332,-54.820999145507812","Departamento de Maldonado"
Türkiye,2023-11-01,4,"39.587322235107422,27.007709503173828",Balıkesir
"South Korea",2023-11-01,5,"34.312469482421875,126.73878479003906",Jeollanam-do
Brazil,2023-11-02,1,"-5.8180265426635742,-35.234474182128906","Rio Grande do Norte"
Malta,2023-11-02,2,"35.898178100585938,14.492717742919922",Malta
Philippines,2023-11-02,3,"15.642234802246094,120.58340454101562",Tarlac
Bhutan,2023-11-02,4,"26.874547958374023,90.48834228515625",Sarpang
"Puerto Rico",2023-11-02,5,"18.402288436889648,-66.241874694824219","Toa Baja"
Taiwan,2023-11-03,1,"23.834840774536133,120.70458221435547","Nantou County"
Guatemala,2023-11-03,2,"14.265922546386719,-91.361099243164062",Escuintla
Mongolia,2023-11-03,3,"46.9548454284668,112.10982513427734",Sükhbaatar
Estonia,2023-11-03,4,"58.372505187988281,26.735069274902344","Tartu maakond"
Argentina,2023-11-03,5,"-40.108192443847656,-71.165145874023438",Neuquén
Mexico,2023-11-04,1,"16.7696475982666,-92.660980224609375",Chiapas
Palestine,2023-11-04,2,"32.070606231689453,35.07574462890625",Palestine
Jordan,2023-11-04,3,"32.201808929443359,35.866233825683594","Jerash Governorate"
Portugal,2023-11-04,4,"41.823188781738281,-6.6174921989440918",Bragança
Ecuador,2023-11-04,5,"0.04667416587471962,-76.8828125",Sucumbíos
Uruguay,2023-11-05,1,"-31.572847366333008,-55.47021484375","Departamento de Rivera"
"South Korea",2023-11-05,2,"36.851322174072266,127.02056121826172",Chungcheongnam-do
Lithuania,2023-11-05,3,"55.38458251953125,26.335973739624023","Utenos apskritis"
Kenya,2023-11-05,4,"-1.8336646556854248,37.635196685791016","Makueni County"
Brazil,2023-11-05,5,"-11.024821281433105,-37.156314849853516",Sergipe
Czechia,2023-11-06,1,"49.226264953613281,17.65251350402832","Zlínský kraj"
Israel,2023-11-06,2,"32.2962532043457,34.982761383056641","Center District"
Guatemala,2023-11-06,3,"15.122332572937012,-90.655921936035156","Baja Verapaz Department"
Thailand,2023-11-06,4,"16.054952621459961,98.82891845703125","Chang Wat Tak"
Serbia,2023-11-06,5,"43.0066032409668,21.880788803100586","Jablanički okrug"
Russia,2023-11-07,1,"54.618179321289062,83.276847839355469","Novosibirskaya oblast'"
Thailand,2023-11-07,2,"9.7529850006103516,99.974624633789062","Chang Wat Surat Thani"
Switzerland,2023-11-07,3,"46.217952728271484,7.3476572036743164",Valais
Ecuador,2023-11-07,4,"-1.3181165456771851,-78.599517822265625",Tungurahua
Brazil,2023-11-07,5,"-22.770828247070312,-43.527042388916016","Rio de Janeiro"
"North Macedonia",2023-11-08,1,"41.877403259277344,22.568464279174805","Municipality of Vinica"
Israel,2023-11-08,2,"30.772500991821289,35.2364501953125","South District"
Bangladesh,2023-11-08,3,"24.910314559936523,91.89971923828125","Sylhet Division"
Türkiye,2023-11-08,4,"37.553546905517578,32.669143676757812",Konya
"Dominican Republic",2023-11-08,5,"18.477832794189453,-69.9780044555664","Santo Domingo Province"
Norway,2023-11-09,1,"69.167472839355469,18.385461807250977",Troms
Guatemala,2023-11-09,2,"14.613144874572754,-90.525344848632812",Guatemala
Israel,2023-11-09,3,"32.172714233398438,34.917686462402344","Center District"
"North Macedonia",2023-11-09,4,"41.134750366210938,20.773469924926758","Municipality of Ohrid"
Mexico,2023-11-09,5,"18.92567253112793,-99.188774108886719",Morelos
"New Zealand",2023-11-10,1,"-45.700435638427734,170.06028747558594","Otago Region"
Croatia,2023-11-10,2,"45.359169006347656,14.34522533416748","Primorsko-goranska županija"
Tunisia,2023-11-10,3,"34.789913177490234,10.780069351196289",Sfax
Argentina,2023-11-10,4,"-34.599983215332031,-58.377437591552734","Ciudad Autónoma de Buenos Aires"
Canada,2023-11-10,5,"50.313102722167969,-119.24386596679688","British Columbia"
Poland,2023-11-11,1,"49.982215881347656,20.595212936401367","Województwo małopolskie"
Taiwan,2023-11-11,2,"24.472644805908203,118.30188751220703",Taiwan
"United States",2023-11-11,3,"30.648040771484375,-89.379325866699219",Mississippi
Argentina,2023-11-11,4,"-51.181838989257812,-69.518280029296875","Santa Cruz"
Iceland,2023-11-11,5,"63.903114318847656,-16.593046188354492","Sveitarfélagið Hornafjörður"
"United Arab Emirates",2023-11-12,1,"25.243312835693359,55.296321868896484",Dubai
Bulgaria,2023-11-12,2,"42.140110015869141,24.765581130981445",Plovdiv
Mexico,2023-11-12,3,"20.0295467376709,-97.886650085449219",Puebla
Mongolia,2023-11-12,4,"47.627525329589844,118.62638854980469",Dornod
India,2023-11-12,5,"12.927764892578125,77.82415771484375",Karnataka
"United States",2023-11-13,1,"41.927310943603516,-71.3509521484375",Massachusetts
Russia,2023-11-13,2,"48.354701995849609,134.99884033203125","Khabarovskiy kray"
Latvia,2023-11-13,3,"56.7617073059082,25.447158813476562","Aizkraukles novads"
Kenya,2023-11-13,4,"-4.0077719688415527,39.578975677490234","Mombasa County"
Latvia,2023-11-13,5,"56.479179382324219,26.8670654296875","Preiļu novads"
Sweden,2023-11-14,1,"67.940521240234375,23.631959915161133","Norrbottens län"
Greenland,2023-11-14,2,"71.054977416992188,-51.883049011230469","Avannaata Municipality"
Madagascar,2023-11-14,3,"-22.075809478759766,43.246803283691406",Atsimo-Andrefana
Uganda,2023-11-14,4,"0.34640926122665405,32.7637939453125","Central Region"
Hungary,2023-11-14,5,"47.5262451171875,19.05613899230957",Budapest
"New Zealand",2023-11-15,1,"-41.255054473876953,174.77313232421875","Wellington Region"
Peru,2023-11-15,2,"-6.1536192893981934,-78.687294006347656",Cajamarca
Netherlands,2023-11-15,3,"52.623886108398438,6.5649538040161133",Overijssel
Romania,2023-11-15,4,"45.874534606933594,23.173482894897461","Județul Hunedoara"
"Hong Kong",2023-11-15,5,"22.285036087036133,113.90068817138672","New Territories"
Botswana,2023-11-16,1,"-22.044624328613281,26.712760925292969","Kgaolo ya Legare"
Hungary,2023-11-16,2,"47.430698394775391,21.449243545532227",Hajdú-Bihar
Bolivia,2023-11-16,3,"-17.8648681640625,-65.4124984741211","Departamento de Cochabamba"
"United States",2023-11-16,4,"40.144992828369141,-74.5322494506836","New Jersey"
"Sri Lanka",2023-11-16,5,"7.1092448234558105,79.976066589355469","Western Province"
Malaysia,2023-11-17,1,"5.0716457366943359,115.55006408691406",Sabah
Germany,2023-11-17,2,"49.021011352539062,12.133244514465332",Bayern
Greece,2023-11-17,3,"40.642425537109375,22.9384708404541","Central Macedonia"
Canada,2023-11-17,4,"47.631168365478516,-53.315437316894531","Newfoundland and Labrador"
Guatemala,2023-11-17,5,"14.632608413696289,-90.925460815429688",Chimaltenango
Indonesia,2023-11-18,1,"-8.2538175582885742,124.49030303955078","Nusa Tenggara Timur"
Bolivia,2023-11-18,2,"-16.504772186279297,-68.1175765991211","Departamento de La Paz"
Peru,2023-11-18,3,"-12.051025390625,-77.0355224609375","Provincia de Lima"
Finland,2023-11-18,4,"61.271389007568359,24.704990386962891",Kanta-Häme
Bolivia,2023-11-18,5,"-16.484790802001953,-68.134613037109375","Departamento de La Paz"
Ukraine,2023-11-19,1,"48.198207855224609,25.4210205078125","Chernivets'ka oblast"
Bolivia,2023-11-19,2,"-17.390033721923828,-66.196723937988281","Departamento de Cochabamba"
Kyrgyzstan,2023-11-19,3,"42.891761779785156,74.680229187011719","Bishkek City"
Estonia,2023-11-19,4,"58.713993072509766,27.040016174316406","Tartu maakond"
Mongolia,2023-11-19,5,"46.616741180419922,108.24727630615234",Govisümber
Canada,2023-11-20,1,"53.621906280517578,-113.62447357177734",Alberta
Czechia,2023-11-20,2,"50.468799591064453,13.387114524841309","Ústecký kraj"
Greenland,2023-11-20,3,"69.205413818359375,-51.142017364501953","Avannaata Municipality"
Mongolia,2023-11-20,4,"47.918910980224609,106.91860198974609",Ulaanbaatar
Uruguay,2023-11-20,5,"-34.724960327148438,-56.480155944824219","Departamento de San José"
Malta,2023-11-21,1,"35.925006866455078,14.401062965393066",Malta
"Sri Lanka",2023-11-21,2,"9.292323112487793,80.142257690429688","Northern Province"
"South Africa",2023-11-21,3,"-33.902370452880859,18.594419479370117","Western Cape"
Ecuador,2023-11-21,4,"0.084525279700756073,-76.957160949707031",Sucumbios
"Dominican Republic",2023-11-21,5,"18.49598503112793,-69.969917297363281","Distrito Nacional"
Uruguay,2023-11-22,1,"-34.483055114746094,-56.040103912353516","Departamento de Canelones"
Japan,2023-11-22,2,"34.716678619384766,137.62834167480469",Shizuoka
Portugal,2023-11-22,3,"38.066970825195312,-8.1264743804931641","Beja District"
Guatemala,2023-11-22,4,"15.473763465881348,-90.362884521484375","Alta Verapaz Department"
Russia,2023-11-22,5,"59.564273834228516,150.78166198730469","Magadanskaya oblast'"
Bolivia,2023-11-23,1,"-16.56422233581543,-68.113113403320312","Departamento de La Paz"
France,2023-11-23,2,"48.076251983642578,-2.7821531295776367",Brittany
Japan,2023-11-23,3,"43.082965850830078,141.29270935058594",Hokkaido
Brazil,2023-11-23,4,"-5.83297872543335,-47.0670280456543",Maranhão
Portugal,2023-11-23,5,"37.630023956298828,-7.51283597946167",Beja
Israel,2023-11-24,1,"32.490912050538128,35.421230309864335","North District"
"New Zealand",2023-11-24,2,"-41.216713364599961,175.45965138902366","Wellington Region"
Uruguay,2023-11-24,3,"-33.224382984624917,-57.4206643142477","Departamento de Soriano"
"United Kingdom",2023-11-24,4,"59.974702477217122,-1.3129333425538123","Shetland Islands"
"United States",2023-11-24,5,"42.14959257638985,-88.433645084734579",Illinois
Czechia,2023-11-25,1,"49.783283233642578,18.4298038482666","Moravskoslezský kraj"
Ecuador,2023-11-25,2,"-2.1662492752075195,-79.914024353027344",Guayas
"Hong Kong",2023-11-25,3,"22.289150238037109,113.90879821777344","New Territories"
Bermuda,2023-11-25,4,"32.350387573242188,-64.657646179199219","St. George's Parish"
Brazil,2023-11-25,5,"-10.558506011962891,-37.373703002929688",Sergipe
Bangladesh,2023-11-26,1,"26.442403793334961,88.612319946289062","Rangpur Division"
Rwanda,2023-11-26,2,"-1.985173225402832,30.032163619995117","Kigali City"
Mexico,2023-11-26,3,"17.809003829956055,-94.535720825195312",Veracruz
Türkiye,2023-11-26,4,"40.102069854736328,33.416797637939453",Ankara
Canada,2023-11-26,5,"46.486202239990234,-80.550201416015625",Ontario
Montenegro,2023-11-27,1,"42.778213500976562,18.942337036132812","Opština Nikšić"
Thailand,2023-11-27,2,"20.151399612426758,100.11589813232422","Chang Wat Chiang Rai"
Qatar,2023-11-27,3,"25.2984619140625,51.431087493896484","Al Rayyan Municipality"
"United Kingdom",2023-11-27,4,"52.48638916015625,-2.121556282043457","West Midlands"
Ecuador,2023-11-27,5,"-2.1689348220825195,-79.778022766113281",Guayas
France,2023-11-28,1,"47.131088256835938,-0.634754478931427","Pays de la Loire"
Luxembourg,2023-11-28,2,"49.523540496826172,6.3424420356750488",Réimech
India,2023-11-28,3,"28.530851364135742,77.314613342285156",Delhi
Bangladesh,2023-11-28,4,"24.371105194091797,90.699325561523438","Dhaka Division"
Brazil,2023-11-28,5,"-19.858013153076172,-43.907779693603516","Minas Gerais"
Eswatini,2023-11-29,1,"-26.297780990600586,31.114645004272461","Hhohho Region"
Kyrgyzstan,2023-11-29,2,"42.722503662109375,74.662506103515625","Chuy Province"
"Sri Lanka",2023-11-29,3,"7.89577054977417,79.791496276855469","North Western Province"
Senegal,2023-11-29,4,"14.757659912109375,-17.403392791748047","Dakar Region"
Chile,2023-11-29,5,"-39.2526969909668,-71.765998840332031",Araucanía
Serbia,2023-11-30,1,"43.320171356201172,21.891212463378906","Nišavski okrug"
Israel,2023-11-30,2,"32.694801330566406,35.305900573730469","North District"
Argentina,2023-11-30,3,"-54.241188049316406,-66.993095397949219","Tierra del Fuego"
Lesotho,2023-11-30,4,"-29.282312393188477,29.066205978393555",Mokhotlong
Guatemala,2023-11-30,5,"14.578304290771484,-90.523063659667969",Guatemala
Argentina,2023-12-01,1,"-40.69852278636305,-66.135997693170211","Río Negro"
Spain,2023-12-01,2,"43.389489463731032,-1.7897901216836676",Euskadi
Australia,2023-12-01,3,"-37.816105699102032,144.9689603475023",Victoria
Japan,2023-12-01,4,"35.4635152359581,136.07987084782553",Shiga
Mexico,2023-12-01,5,"21.602003601446327,-87.994489069335771",Yucatán
"Isle of Man",2023-12-02,1,"54.333229064941406,-4.4381284713745117",Andreas
"Puerto Rico",2023-12-02,2,"18.099721908569336,-67.044029235839844","San Germán"
Argentina,2023-12-02,3,"-23.131380081176758,-65.368759155273438",Jujuy
"Hong Kong",2023-12-02,4,"22.322338104248047,114.15874481201172",Kowloon
Senegal,2023-12-02,5,"15.683732986450195,-16.10417366027832","Louga Region"
"South Africa",2023-12-03,1,"-32.9796257019043,27.908149719238281","Eastern Cape"
Italy,2023-12-03,2,"37.254623413085938,15.214302062988281",Sicily
Russia,2023-12-03,3,"53.276332855224609,45.70477294921875","Penzenskaya oblast'"
Canada,2023-12-03,4,"47.656913757324219,-65.054214477539062","New Brunswick"
"New Zealand",2023-12-03,5,"-39.353889465332031,176.90829467773438","Hawke's Bay Region"
Indonesia,2023-12-04,1,"-6.0225300788879395,106.08805084228516",Banten
Mexico,2023-12-04,2,"25.39317512512207,-101.47953033447266","Coahuila de Zaragoza"
"Hong Kong",2023-12-04,3,"22.357423782348633,113.95290374755859","New Territories"
Netherlands,2023-12-04,4,"53.049106597900391,5.5058951377868652",Friesland
Greenland,2023-12-04,5,"64.177803039550781,-51.712001800537109","Sermersooq Kommune"
Australia,2023-12-05,1,"-26.752960205078125,153.11068725585938",Queensland
Malaysia,2023-12-05,2,"6.3659744262695312,99.712333679199219",Kedah
Rwanda,2023-12-05,3,"-1.9792561531066895,30.040245056152344","Kigali City"
Peru,2023-12-05,4,"-15.972907066345215,-69.794548034667969",Puno
Uganda,2023-12-05,5,"1.8956915140151978,31.7139949798584","Mkoa wa Magharibi"
Bolivia,2023-12-06,1,"-17.876623153686523,-63.094051361083984","Departamento de Santa Cruz"
Argentina,2023-12-06,2,"-45.792648315429688,-67.435096740722656",Chubut
Kenya,2023-12-06,3,"-1.2831051349639893,36.841522216796875","Nairobi County"
Thailand,2023-12-06,4,"20.033666610717773,100.28483581542969","Chang Wat Chiang Rai"
Bulgaria,2023-12-06,5,"41.577445983886719,23.726142883300781",Blagoevgrad
Chile,2023-12-07,1,"-31.931846618652344,-71.162689208984375",Coquimbo
Norway,2023-12-07,2,"59.898849487304688,10.496033668518066",Akershus
Poland,2023-12-07,3,"50.014698028564453,20.033493041992188","Województwo małopolskie"
Germany,2023-12-07,4,"50.842365264892578,10.004300117492676",Hessen
Laos,2023-12-07,5,"19.892629623413086,102.13810729980469","Luang Prabang Province"
Australia,2023-12-08,1,"-39.020364936168257,146.31459673311289",Victoria
Nigeria,2023-12-08,2,"11.743117928983668,11.95428696687631",Yobe
Italy,2023-12-08,3,"40.593157803395812,8.2182737616244612",Sardegna
Russia,2023-12-08,4,"62.780917004763531,148.14914133951478","Magadanskaya oblast'"
Mexico,2023-12-08,5,"27.35446955678767,-110.02311270191719",Sonora
Botswana,2023-12-09,1,"-24.363697052001953,25.448915481567383","Kweneng District"
Mongolia,2023-12-09,2,"47.909019470214844,106.89503479003906",Ulaanbaatar
Netherlands,2023-12-09,3,"51.677417755126953,5.0392012596130371",Noord-Brabant
Chile,2023-12-09,4,"-41.876708984375,-73.9218978881836","Los Lagos"
"United States",2023-12-09,5,"34.964469909667969,-81.94915771484375","South Carolina"
Finland,2023-12-10,1,"63.27301025390625,24.268276214599609",Keski-Pohjanmaa
Indonesia,2023-12-10,2,"-2.7561581134796143,108.18055725097656","Kepulauan Bangka Belitung"
Russia,2023-12-10,3,"55.976455688476562,159.15536499023438","Kamchatka Krai"
Colombia,2023-12-10,4,"2.4529757499694824,-75.536285400390625",Huila
Taiwan,2023-12-10,5,"25.083103179931641,121.45920562744141","New Taipei City"
Türkiye,2023-12-11,1,"40.583526611328125,34.7313117980957",Çorum
Australia,2023-12-11,2,"-12.486662864685059,131.03858947753906","Northern Territory"
Portugal,2023-12-11,3,"38.589061737060547,-28.703847885131836",Açores
Peru,2023-12-11,4,"-6.7059431076049805,-77.804252624511719",Amazonas
Latvia,2023-12-11,5,"57.279613494873047,22.829055786132812","Talsu novads"
Uruguay,2023-12-12,1,"-34.784336090087891,-54.915412902832031","Departamento de Maldonado"
Israel,2023-12-12,2,"31.772043228149414,35.203411102294922","Jerusalem District"
Canada,2023-12-12,3,"50.0771598815918,-110.76206970214844",Alberta
Ghana,2023-12-12,4,"5.6901240348815918,-0.026997921988368034","Greater Accra Region"
Kenya,2023-12-12,5,"-0.092894509434700012,34.7560920715332","Kisumu County"
Lithuania,2023-12-13,1,"54.2133903503418,25.650644302368164","Vilniaus apskritis"
Switzerland,2023-12-13,2,"47.1505241394043,7.4003992080688477",Bern
Russia,2023-12-13,3,"49.089962005615234,140.26443481445312","Khabarovskiy kray"
Brazil,2023-12-13,4,"-11.500483512878418,-61.475082397460938",Rondônia
Russia,2023-12-13,5,"55.916816711425781,36.823593139648438","Moskovskaya oblast'"
Lithuania,2023-12-14,1,"55.67364501953125,21.210678100585938","Klaipėdos apskritis"
Montenegro,2023-12-14,2,"42.775760650634766,18.952846527099609","Opština Nikšić"
"South Africa",2023-12-14,3,"-24.005285263061523,29.371122360229492",Limpopo
India,2023-12-14,4,"12.808370590209961,77.782318115234375",Karnataka
"United States",2023-12-14,5,"37.5317268371582,-122.33441162109375",California
"United Kingdom",2023-12-15,1,"56.651292739300715,-4.8510803643058251","Highland Council"
Mexico,2023-12-15,2,"20.155589340854558,-100.29233812297551",Michoacán
Russia,2023-12-15,3,"56.325588586718176,160.82316570819785","Kamchatka Krai"
Greece,2023-12-15,4,"37.915770473046635,22.04970539262429","Western Greece"
"United States",2023-12-15,5,"48.2635040803331,-116.53846263358324",Idaho
Türkiye,2023-12-16,1,"41.143428802490234,37.23541259765625",Ordu
Brazil,2023-12-16,2,"-28.276384353637695,-52.412284851074219","Rio Grande do Sul"
Madagascar,2023-12-16,3,"-18.922405242919922,47.532508850097656",Analamanga
"United Kingdom",2023-12-16,4,"51.257972717285156,-0.0050852149724960327",Surrey
"United States",2023-12-16,5,"35.245899200439453,-88.158988952636719",Tennessee
Iceland,2023-12-17,1,"64.114982604980469,-21.898786544799805",Kópavogsbær
Mexico,2023-12-17,2,"19.729055404663086,-99.463386535644531","Estado de México"
Philippines,2023-12-17,3,"15.661577224731445,120.46249389648438",Tarlac
Spain,2023-12-17,4,"39.691032409667969,3.3419628143310547","Illes Balears"
Colombia,2023-12-17,5,"5.6343307495117188,-73.5207748413086",Boyacá
Malta,2023-12-18,1,"35.9014892578125,14.496356964111328",Malta
"United Arab Emirates",2023-12-18,2,"25.276473999023438,55.303520202636719",Dubai
Guatemala,2023-12-18,3,"14.87684154510498,-90.5859375","Baja Verapaz"
Chile,2023-12-18,4,"-20.371358871459961,-70.170417785644531",Tarapacá
Colombia,2023-12-18,5,"2.9538755416870117,-75.287673950195312",Huila
Austria,2023-12-19,1,"48.329338073730469,14.346686363220215",Oberösterreich
Mexico,2023-12-19,2,"21.25189208984375,-98.791206359863281","San Luis Potosí"
Philippines,2023-12-19,3,"15.671106338500977,120.93273162841797","Nueva Ecija"
"United Arab Emirates",2023-12-19,4,"25.069143295288086,55.130805969238281",Dubai
Bulgaria,2023-12-19,5,"41.679965972900391,24.5805721282959",Smolyan
Iceland,2023-12-20,1,"64.144081115722656,-21.806224822998047",Reykjavíkurborg
Malaysia,2023-12-20,2,"4.4728560447692871,100.91011810302734",Perak
Peru,2023-12-20,3,"-13.712493896484375,-76.148124694824219",Ica
India,2023-12-20,4,"19.060798645019531,72.864303588867188",Maharashtra
India,2023-12-20,5,"12.944188117980957,77.500869750976562",Karnataka
Canada,2023-12-21,1,"48.439247131347656,-89.295600891113281",Ontario
"Puerto Rico",2023-12-21,2,"18.423641204833984,-66.038627624511719","San Juan"
Argentina,2023-12-21,3,"-45.839500427246094,-67.491996765136719",Chubut
Ghana,2023-12-21,4,"9.23756217956543,-1.8429481983184814","Savannah Region"
"Sri Lanka",2023-12-21,5,"8.02757453918457,81.005294799804688","North Central Province"
Australia,2023-12-22,1,"-41.1239703,146.0781036",Tasmania
"New Zealand",2023-12-22,2,"-45.1087747,170.9728005","Otago Region"
Senegal,2023-12-22,3,"14.105254082322364,-15.544923590405537","Kaffrine Region"
"South Africa",2023-12-22,4,"-34.1960202,18.4504013","Western Cape"
Japan,2023-12-22,5,"35.6880242,139.7011042",Tokyo
Iceland,2023-12-23,1,"64.137687683105469,-21.9008846282959",Reykjavíkurborg
Finland,2023-12-23,2,"61.546482086181641,21.596214294433594",Satakunta
Ecuador,2023-12-23,3,"-0.91416966915130615,-89.438125610351562","Galápagos Province"
Ghana,2023-12-23,4,"5.6231794357299805,-0.13467584550380707","Greater Accra Region"
Israel,2023-12-23,5,"32.032993316650391,34.775508880615234","Tel Aviv District"
Guatemala,2023-12-24,1,"14.460627555847168,-90.558967590332031","Guatemala Department"
Austria,2023-12-24,2,"48.2890739440918,14.30068302154541",Oberösterreich
Ukraine,2023-12-24,3,"50.790626525878906,24.616779327392578","Volyns'ka oblast"
Madagascar,2023-12-24,4,"-13.583765029907227,48.400482177734375",Diana
Norway,2023-12-24,5,"63.237373352050781,9.9978141784667969",Trøndelag
Uruguay,2023-12-25,1,"-34.860637664794922,-56.136142730712891","Departamento de Montevideo"
"United States",2023-12-25,2,"30.66717529296875,-88.087074279785156",Alabama
"Christmas Island",2023-12-25,3,"-10.438454627990723,105.69534301757812","Shire of Christmas Island"
Czechia,2023-12-25,4,"49.2286262512207,17.659688949584961","Zlínský kraj"
Albania,2023-12-25,5,"39.668563842773438,20.162939071655273","Qarku i Vlorës"
Colombia,2023-12-26,1,"1.2447195053100586,-77.2959213256836",Narino
Japan,2023-12-26,2,"34.759521484375,135.34053039550781",Hyogo
"Christmas Island",2023-12-26,3,"-10.559967994689941,105.65135192871094","Shire of Christmas Island"
Kyrgyzstan,2023-12-26,4,"42.877998352050781,74.607307434082031","Bishkek City"
Senegal,2023-12-26,5,"15.284860610961914,-14.770184516906738","Louga Region"
Israel,2023-12-27,1,"32.982223510742188,35.551750183105469","North District"
Czechia,2023-12-27,2,"50.488162994384766,15.519559860229492","Královéhradecký kraj"
"Puerto Rico",2023-12-27,3,"18.457744598388672,-66.099563598632812","San Juan"
"Puerto Rico",2023-12-27,4,"18.009176254272461,-66.608222961425781",Ponce
Slovakia,2023-12-27,5,"48.184642791748047,17.03985595703125","Bratislavský kraj"
"United Kingdom",2023-12-28,1,"56.625446319580078,-2.5776793956756592",Angus
Argentina,2023-12-28,2,"-53.932182312011719,-68.311363220214844","Tierra del Fuego"
"Puerto Rico",2023-12-28,3,"18.018728256225586,-66.619415283203125",Ponce
Australia,2023-12-28,4,"-12.458391189575195,131.06338500976562","Northern Territory"
Norway,2023-12-28,5,"60.842132568359375,10.053180694580078",Innlandet
Israel,2023-12-29,1,"32.379951477050781,34.877178192138672","Center District"
Germany,2023-12-29,2,"49.733364105224609,11.074411392211914",Bayern
Senegal,2023-12-29,3,"12.657777786254883,-15.581648826599121","Région de Sédhiou"
"United States",2023-12-29,4,"32.701900482177734,-83.820991516113281",Georgia
Mexico,2023-12-29,5,"31.871292114257812,-116.64281463623047","Baja California"
Malaysia,2023-12-30,1,"3.9163558483123779,100.71537780761719",Perak
Guatemala,2023-12-30,2,"14.506539344787598,-90.602592468261719",Guatemala
Peru,2023-12-30,3,"-11.87104606628418,-77.054107666015625","Provincia de Lima"
Colombia,2023-12-30,4,"5.5027170181274414,-73.359046936035156",Boyacá
Austria,2023-12-30,5,"48.247951507568359,16.485822677612305",Wien
Mexico,2023-12-31,1,"22.757801055908203,-102.54312133789062",Zacatecas
